Shortest Path 
 Pop : 47,81, g = 48.3137, rhs = 48.3137, h = 44
 Pop : 49,81, g = 48.3137, rhs = 48.3137, h = 44
 Pop : 51,81, g = 48.3137, rhs = 48.3137, h = 44
 Pop : 51,80, g = 49.3137, rhs = 49.3137, h = 43
 Pop : 47,80, g = 49.3137, rhs = 49.3137, h = 43
 Pop : 49,80, g = 49.3137, rhs = 49.3137, h = 43
 Pop : 49,79, g = 50.3137, rhs = 50.3137, h = 42
 Pop : 47,79, g = 50.3137, rhs = 50.3137, h = 42
 Pop : 51,79, g = 50.3137, rhs = 50.3137, h = 42
 Pop : 47,78, g = 51.3137, rhs = 51.3137, h = 41
 Pop : 49,78, g = 51.3137, rhs = 51.3137, h = 41
 Pop : 51,78, g = 51.3137, rhs = 51.3137, h = 41
 Pop : 51,77, g = 52.3137, rhs = 52.3137, h = 40
 Pop : 47,77, g = 52.3137, rhs = 52.3137, h = 40
 Pop : 51,76, g = 53.3137, rhs = 53.3137, h = 39
 Pop : 51,75, g = 54.3137, rhs = 54.3137, h = 38
 Pop : 51,74, g = 55.3137, rhs = 55.3137, h = 37
 Pop : 51,73, g = 56.3137, rhs = 56.3137, h = 36
 Pop : 44,105, g = 24.4853, rhs = 24.4853, h = 68
 Pop : 48,93, g = 36.4853, rhs = 36.4853, h = 56
 Pop : 48,91, g = 38.4853, rhs = 38.4853, h = 54
 Pop : 49,123, g = 6.65685, rhs = 6.65685, h = 86
 Pop : 49,118, g = 11.6569, rhs = 11.6569, h = 81
 Pop : 49,117, g = 12.6569, rhs = 12.6569, h = 80
 Pop : 46,90, g = 39.7279, rhs = 39.7279, h = 53
 Pop : 46,88, g = 41.7279, rhs = 41.7279, h = 51
 Pop : 46,87, g = 42.7279, rhs = 42.7279, h = 50
 Pop : 46,83, g = 46.7279, rhs = 46.7279, h = 46
 Pop : 48,82, g = 47.7279, rhs = 47.7279, h = 45
 Pop : 50,82, g = 47.7279, rhs = 47.7279, h = 45
 Pop : 46,81, g = 48.7279, rhs = 48.7279, h = 44
 Pop : 46,80, g = 49.7279, rhs = 49.7279, h = 43
 Pop : 46,79, g = 50.7279, rhs = 50.7279, h = 42
 Pop : 46,78, g = 51.7279, rhs = 51.7279, h = 41
 Pop : 46,77, g = 52.7279, rhs = 52.7279, h = 40
 Pop : 50,77, g = 52.7279, rhs = 52.7279, h = 40
 Pop : 46,76, g = 53.7279, rhs = 53.7279, h = 39
 Pop : 48,76, g = 53.7279, rhs = 53.7279, h = 39
 Pop : 50,75, g = 54.7279, rhs = 54.7279, h = 38
 Pop : 50,74, g = 55.7279, rhs = 55.7279, h = 37
 Pop : 50,73, g = 56.7279, rhs = 56.7279, h = 36
 Pop : 48,126, g = 3.82843, rhs = 3.82843, h = 89
 Pop : 48,125, g = 4.82843, rhs = 4.82843, h = 88
 Pop : 47,90, g = 39.8995, rhs = 39.8995, h = 53
 Pop : 47,86, g = 43.8995, rhs = 43.8995, h = 49
 Pop : 41,126, g = 4, rhs = 4, h = 89
 Pop : 50,122, g = 8.07107, rhs = 8.07107, h = 85
 Pop : 50,116, g = 14.0711, rhs = 14.0711, h = 79
 Pop : 45,89, g = 41.1421, rhs = 41.1421, h = 52
 Pop : 45,87, g = 43.1421, rhs = 43.1421, h = 50
 Pop : 45,86, g = 44.1421, rhs = 44.1421, h = 49
 Pop : 45,85, g = 45.1421, rhs = 45.1421, h = 48
 Pop : 45,80, g = 50.1421, rhs = 50.1421, h = 43
 Pop : 45,79, g = 51.1421, rhs = 51.1421, h = 42
 Pop : 45,78, g = 52.1421, rhs = 52.1421, h = 41
 Pop : 45,77, g = 53.1421, rhs = 53.1421, h = 40
 Pop : 45,76, g = 54.1421, rhs = 54.1421, h = 39
 Pop : 49,76, g = 54.1421, rhs = 54.1421, h = 39
 Pop : 45,75, g = 55.1421, rhs = 55.1421, h = 38
 Pop : 45,74, g = 56.1421, rhs = 56.1421, h = 37
 Pop : 45,73, g = 57.1421, rhs = 57.1421, h = 36
 Pop : 49,73, g = 57.1421, rhs = 57.1421, h = 36
 Pop : 49,124, g = 6.24264, rhs = 6.24264, h = 87
 Pop : 46,91, g = 39.3137, rhs = 39.3137, h = 54
 Pop : 40,125, g = 5.41421, rhs = 5.41421, h = 88
 Pop : 46,89, g = 41.3137, rhs = 41.3137, h = 52
 Pop : 51,121, g = 9.48528, rhs = 9.48528, h = 84
 Pop : 51,120, g = 10.4853, rhs = 10.4853, h = 83
 Pop : 51,119, g = 11.4853, rhs = 11.4853, h = 82
 Pop : 51,118, g = 12.4853, rhs = 12.4853, h = 81
 Pop : 51,115, g = 15.4853, rhs = 15.4853, h = 78
 Pop : 45,107, g = 23.4853, rhs = 23.4853, h = 70
 Pop : 51,107, g = 23.4853, rhs = 23.4853, h = 70
 Pop : 44,88, g = 42.5563, rhs = 42.5563, h = 51
 Pop : 44,86, g = 44.5563, rhs = 44.5563, h = 49
 Pop : 44,85, g = 45.5563, rhs = 45.5563, h = 48
 Pop : 44,84, g = 46.5563, rhs = 46.5563, h = 47
 Pop : 44,83, g = 47.5563, rhs = 47.5563, h = 46
 Pop : 44,79, g = 51.5563, rhs = 51.5563, h = 42
 Pop : 44,78, g = 52.5563, rhs = 52.5563, h = 41
 Pop : 44,77, g = 53.5563, rhs = 53.5563, h = 40
 Pop : 44,76, g = 54.5563, rhs = 54.5563, h = 39
 Pop : 44,75, g = 55.5563, rhs = 55.5563, h = 38
 Pop : 44,74, g = 56.5563, rhs = 56.5563, h = 37
 Pop : 44,73, g = 57.5563, rhs = 57.5563, h = 36
 Pop : 46,73, g = 57.5563, rhs = 57.5563, h = 36
