
 Pop : 16,7, g = 14.4853, rhs = 14.4853, h = 9.74679 key :24.2321,14.4853
 Pop : 2,15, g = 14.8284, rhs = 14.8284, h = 9.43398 key :24.2624,14.8284
 Pop : 9,14, g = 15.0711, rhs = 15.0711, h = 9.27362 key :24.3447,15.0711
 Pop : 12,13, g = 15.3137, rhs = 15.3137, h = 9.21954 key :24.5333,15.3137
 Pop : 4,16, g = 15, rhs = 15, h = 9.53939 key :24.5394,15
 Pop : 7,15, g = 15.2426, rhs = 15.2426, h = 9.32738 key :24.57,15.2426
 Pop : 14,12, g = 15.1421, rhs = 15.1421, h = 9.48683 key :24.629,15.1421
 Pop : 10,14, g = 15.4853, rhs = 15.4853, h = 9.16515 key :24.6504,15.4853
 Pop : 17,6, g = 15.0711, rhs = 15.0711, h = 9.59166 key :24.6627,15.0711
 Pop : 18,1, g = 14.8284, rhs = 14.8284, h = 9.84886 key :24.6773,14.8284
 Pop : 15,11, g = 15.1421, rhs = 15.1421, h = 9.53939 key :24.6815,15.1421
 Pop : 16,9, g = 15.3137, rhs = 15.3137, h = 9.43398 key :24.7477,15.3137
 Pop : 18,3, g = 14.8284, rhs = 14.8284, h = 9.94987 key :24.7783,14.8284
 Pop : 3,16, g = 15.4142, rhs = 15.4142, h = 9.38083 key :24.795,15.4142
 Pop : 5,16, g = 15.4142, rhs = 15.4142, h = 9.48683 key :24.901,15.4142
 Pop : 1,15, g = 15.2426, rhs = 15.2426, h = 9.69536 key :24.938,15.2426
 Pop : 13,13, g = 15.7279, rhs = 15.7279, h = 9.21954 key :24.9475,15.7279
 Pop : 8,15, g = 15.6569, rhs = 15.6569, h = 9.32738 key :24.9842,15.6569
 Pop : 15,12, g = 15.5563, rhs = 15.5563, h = 9.48683 key :25.0432,15.5563
 Pop : 11,14, g = 15.8995, rhs = 15.8995, h = 9.16515 key :25.0646,15.8995
 Pop : 6,16, g = 15.8284, rhs = 15.8284, h = 9.27362 key :25.102,15.8284
 Pop : 16,10, g = 15.7279, rhs = 15.7279, h = 9.38083 key :25.1088,15.7279
 Pop : 18,4, g = 15.2426, rhs = 15.2426, h = 9.89949 key :25.1421,15.2426
